entry_date,entry_minute,exit_date,exit_minute,entry_price,exit_price,position_size,pnl
20240927,227,20240927,228,6107.221777648448,6103.054921761947,0.9241558114496184,-0.0005397056537503915
20240930,7,20240930,8,6464.182431925376,6366.955794573683,0.8557842614524123,0.0
20240930,8,20240930,9,6418.115525180169,6343.343611216843,0.9502035496175968,-0.006821580587231129
20240930,9,20240930,10,6366.261318592599,6295.656260515775,0.9063728126156017,-0.003420608392863694
20240930,10,20240930,11,6337.093327387091,6293.804324566219,0.912577861941098,-0.005926602135459112
20240930,17,20240930,18,6302.138036339222,6285.470612793217,0.8651655389646884,0.0
20240930,26,20240930,27,6338.01929536187,6373.900554384519,-0.8032965576021524,0.0
20240930,49,20240930,50,6398.901689703524,6424.134317016225,-0.5493951320108013,0.0
20240930,50,20240930,51,6410.93927337564,6430.1531088522825,-0.7019035332429158,-0.0011307692108258772
20240930,51,20240930,52,6426.449236953171,6427.838188915338,-0.9353125997559237,-0.0004045407777776054
20240930,54,20240930,55,6428.99564888381,6430.1531088522825,-0.6469739247570405,0.0
20240930,56,20240930,57,6448.440976354149,6481.081347465074,-0.6947551651595214,0.0
20240930,57,20240930,58,6485.711187338964,6482.238807433547,-0.7779416174433683,0.0004959525753360273
20240930,62,20240930,63,6423.671333028838,6421.819397079281,0.6785256508813103,0.0
20240930,80,20240930,81,6511.406798639055,6516.731114494028,-0.7678750159717271,0.0
20240930,83,20240930,84,6543.58418576259,6565.344433169874,-0.707784086775474,0.0
20240930,84,20240930,85,6572.983668961793,6564.186973201402,-0.7726161435846198,0.0008225989597659018
20240930,94,20240930,95,6554.927293453621,6478.997919521824,0.8695695530070104,0.0
20240930,95,20240930,96,6522.51841433639,6496.359819048912,0.9190752767089041,-0.00580206828383428
20240930,96,20240930,97,6478.997919521824,6496.128327055217,0.8941690781005092,0.0024628642901661467
20240930,105,20240930,106,6560.714593295984,6574.37262092396,-0.7207398634527329,0.0
20240930,108,20240930,109,6563.723989214013,6588.725124533019,-0.6922925522013281,0.0
20240930,109,20240930,110,6592.89198041952,6586.17871260238,-0.6892192195650135,0.0004375444501272959
20240930,116,20240930,117,6597.521820293411,6619.0505757070005,-0.6502368724378296,0.0
20240930,118,20240930,119,6621.596987637639,6639.6533631458105,-0.8770816604405817,0.0
20240930,119,20240930,120,6644.051711026006,6640.810823114282,-0.957165666020363,0.0005806261645367747
20240930,121,20240930,122,6637.801427196255,6677.61805011171,-0.7916730436183338,0.0
20240930,130,20240930,131,6682.942365966684,6693.359505682936,-0.8165504113458595,0.0
20240930,134,20240930,135,6640.347839126895,6611.411339915081,0.7979062601174844,0.0
20240930,143,20240930,144,6691.50756973338,6691.50756973338,-0.5922799179156412,0.0
20240930,206,20240930,207,6674.608654193681,6697.063377582048,0.8236738431902217,0.0
20241008,41,20241008,42,7352.880195718583,7320.239824607657,0.5727608928325754,0.0
20241008,43,20241008,44,7249.634766530833,7184.817008296371,0.5209726902913735,0.0
20241008,44,20241008,45,7228.337503110938,7184.817008296371,0.8016695565047594,-0.003136681049632609
20241008,48,20241008,49,7308.202240935543,7343.157531983413,-0.7673766844816754,0.0
